1842.81343405 14.7952 16
6737.22485497 31.9923 36
17534.5357315 60.2986 64
37411.0645929 103.18 100
70076.3227905 164.292 144
119744.203976 247.474 196
191111.516349 356.749 256
289337.748478 496.306 324
420036.407625 670.496 400
589256.474653 883.826 484
803473.383534 1140.95 576
1069582.79645 1446.67 676
1394893.82396 1805.93 784
1787107.56316 2223.79 900
2254338.78947 2705.46 1024
2805074.56794 3256.29 1156
3448196.02393 3881.72 1296
4192970.05713 4587.33 1444
5049018.09738 5378.83 1600
6026357.46883 6262.03 1764
7135365.23205 7242.87 1936
8386765.12167 8327.38 2116
9791650.96883 9521.73 2304
