R_G^2, alpha^2, N (big fragment), # edges (b.f), avg. R_g^2 (s.f), avg. alpha^2 (s.f), avg. mass (s.f), # small fragments
0.600326, 2705.46, 1024, 2047, 0, 0, 0, 0
0.600912, 2702.11, 1024, 2046, 0, 0, 0, 0
0.601498, 2698.74, 1024, 2045, 0, 0, 0, 0
0.602084, 2695.4, 1024, 2044, 0, 0, 0, 0
0.60267, 2692.05, 1024, 2043, 0, 0, 0, 0
0.603256, 2688.72, 1024, 2042, 0, 0, 0, 0
0.603843, 2685.38, 1024, 2041, 0, 0, 0, 0
0.60443, 2682.06, 1024, 2040, 0, 0, 0, 0
0.605017, 2678.71, 1024, 2039, 0, 0, 0, 0
0.605605, 2675.32, 1024, 2038, 0, 0, 0, 0
0.606191, 2671.99, 1024, 2037, 0, 0, 0, 0
0.606779, 2668.66, 1024, 2036, 0, 0, 0, 0
0.607368, 2665.31, 1024, 2035, 0, 0, 0, 0
0.607899, 2661.53, 1024, 2034, 0, 0, 0, 0
0.60849, 2658.23, 1024, 2033, 0, 0, 0, 0
0.609089, 2655.02, 1024, 2032, 0, 0, 0, 0
0.609676, 2651.71, 1024, 2031, 0, 0, 0, 0
0.610265, 2648.32, 1024, 2030, 0, 0, 0, 0
0.610852, 2645.03, 1024, 2029, 0, 0, 0, 0
0.611443, 2641.79, 1024, 2028, 0, 0, 0, 0
0.612031, 2638.52, 1024, 2027, 0, 0, 0, 0
0.612694, 2635.39, 1024, 2026, 0, 0, 0, 0
0.613288, 2632.2, 1024, 2025, 0, 0, 0, 0
0.61388, 2628.96, 1024, 2024, 0, 0, 0, 0
0.614469, 2625.52, 1024, 2023, 0, 0, 0, 0
0.615072, 2622.16, 1024, 2022, 0, 0, 0, 0
0.615663, 2618.84, 1024, 2021, 0, 0, 0, 0
0.616258, 2615.55, 1024, 2020, 0, 0, 0, 0
0.616866, 2612.03, 1024, 2019, 0, 0, 0, 0
0.617469, 2608.81, 1024, 2018, 0, 0, 0, 0
0.618071, 2605.59, 1024, 2017, 0, 0, 0, 0
0.618684, 2602.33, 1024, 2016, 0, 0, 0, 0
0.619274, 2599.08, 1024, 2015, 0, 0, 0, 0
0.619868, 2595.78, 1024, 2014, 0, 0, 0, 0
0.62046, 2592.58, 1024, 2013, 0, 0, 0, 0
0.621057, 2589.33, 1024, 2012, 0, 0, 0, 0
0.621931, 2585.36, 1024, 2011, 0, 0, 0, 0
0.622529, 2582.1, 1024, 2010, 0, 0, 0, 0
0.623142, 2578.95, 1024, 2009, 0, 0, 0, 0
0.623798, 2575.79, 1024, 2008, 0, 0, 0, 0
0.624785, 2572.23, 1024, 2007, 0, 0, 0, 0
0.625388, 2569.12, 1024, 2006, 0, 0, 0, 0
0.625983, 2565.86, 1024, 2005, 0, 0, 0, 0
0.626576, 2562.85, 1024, 2004, 0, 0, 0, 0
0.627166, 2559.61, 1024, 2003, 0, 0, 0, 0
0.62778, 2556.23, 1024, 2002, 0, 0, 0, 0
0.628376, 2553.16, 1024, 2001, 0, 0, 0, 0
0.629213, 2549.0, 1024, 2000, 0, 0, 0, 0
0.630064, 2544.98, 1024, 1999, 0, 0, 0, 0
0.630667, 2541.8, 1024, 1998, 0, 0, 0, 0
0.631284, 2538.67, 1024, 1997, 0, 0, 0, 0
0.631883, 2535.4, 1024, 1996, 0, 0, 0, 0
0.63248, 2532.28, 1024, 1995, 0, 0, 0, 0
0.63308, 2529.1, 1024, 1994, 0, 0, 0, 0
0.633703, 2525.99, 1024, 1993, 0, 0, 0, 0
0.634855, 2520.31, 1024, 1992, 0, 0, 0, 0
0.635854, 2516.71, 1024, 1991, 0, 0, 0, 0
0.636447, 2513.69, 1024, 1990, 0, 0, 0, 0
0.637055, 2510.7, 1024, 1989, 0, 0, 0, 0
0.637648, 2507.38, 1024, 1988, 0, 0, 0, 0
0.638613, 2503.85, 1024, 1987, 0, 0, 0, 0
0.639223, 2500.66, 1024, 1986, 0, 0, 0, 0
0.64017, 2497.12, 1024, 1985, 0, 0, 0, 0
0.640791, 2494.15, 1024, 1984, 0, 0, 0, 0
0.641346, 2490.75, 1024, 1983, 0, 0, 0, 0
0.641985, 2487.68, 1024, 1982, 0, 0, 0, 0
0.64262, 2484.93, 1024, 1981, 0, 0, 0, 0
0.643233, 2481.92, 1024, 1980, 0, 0, 0, 0
0.643773, 2478.44, 1024, 1979, 0, 0, 0, 0
0.644404, 2475.35, 1024, 1978, 0, 0, 0, 0
0.645045, 2472.58, 1024, 1977, 0, 0, 0, 0
0.645651, 2469.61, 1024, 1976, 0, 0, 0, 0
0.646505, 2465.83, 1024, 1975, 0, 0, 0, 0
0.647082, 2462.15, 1024, 1974, 0, 0, 0, 0
0.647639, 2458.66, 1024, 1973, 0, 0, 0, 0
0.648255, 2455.18, 1024, 1972, 0, 0, 0, 0
0.648914, 2452.27, 1024, 1971, 0, 0, 0, 0
0.64954, 2449.09, 1024, 1970, 0, 0, 0, 0
0.650149, 2446.09, 1024, 1969, 0, 0, 0, 0
0.651023, 2442.34, 1024, 1968, 0, 0, 0, 0
0.651674, 2439.1, 1024, 1967, 0, 0, 0, 0
0.652297, 2436.23, 1024, 1966, 0, 0, 0, 0
0.652979, 2433.23, 1024, 1965, 0, 0, 0, 0
0.653827, 2429.37, 1024, 1964, 0, 0, 0, 0
0.654496, 2426.18, 1024, 1963, 0, 0, 0, 0
0.655095, 2422.92, 1024, 1962, 0, 0, 0, 0
0.656127, 2419.39, 1024, 1961, 0, 0, 0, 0
0.656731, 2416.36, 1024, 1960, 0, 0, 0, 0
0.657366, 2413.46, 1024, 1959, 0, 0, 0, 0
0.65802, 2410.72, 1024, 1958, 0, 0, 0, 0
0.658573, 2407.35, 1024, 1957, 0, 0, 0, 0
0.659225, 2404.42, 1024, 1956, 0, 0, 0, 0
0.659857, 2401.57, 1024, 1955, 0, 0, 0, 0
0.660496, 2398.43, 1024, 1954, 0, 0, 0, 0
0.661395, 2394.7, 1024, 1953, 0, 0, 0, 0
0.662285, 2391.23, 1024, 1952, 0, 0, 0, 0
0.66315, 2387.36, 1024, 1951, 0, 0, 0, 0
0.663882, 2384.32, 1024, 1950, 0, 0, 0, 0
0.664502, 2381.19, 1024, 1949, 0, 0, 0, 0
0.665143, 2378.07, 1024, 1948, 0, 0, 0, 0
0.665759, 2375.25, 1024, 1947, 0, 0, 0, 0
0.666603, 2371.57, 1024, 1946, 0, 0, 0, 0
0.667976, 2368.96, 1024, 1945, 0, 0, 0, 0
0.668607, 2365.96, 1024, 1944, 0, 0, 0, 0
0.669241, 2362.82, 1024, 1943, 0, 0, 0, 0
0.669857, 2359.71, 1024, 1942, 0, 0, 0, 0
0.670554, 2356.98, 1024, 1941, 0, 0, 0, 0
0.671197, 2354.18, 1024, 1940, 0, 0, 0, 0
0.671844, 2350.96, 1024, 1939, 0, 0, 0, 0
0.672771, 2347.17, 1024, 1938, 0, 0, 0, 0
0.673885, 2344.1, 1024, 1937, 0, 0, 0, 0
0.674851, 2340.71, 1024, 1936, 0, 0, 0, 0
0.67579, 2337.42, 1024, 1935, 0, 0, 0, 0
0.676356, 2334.16, 1024, 1934, 0, 0, 0, 0
0.677097, 2331.74, 1024, 1933, 0, 0, 0, 0
0.677764, 2329.2, 1024, 1932, 0, 0, 0, 0
0.678387, 2326.05, 1024, 1931, 0, 0, 0, 0
0.679121, 2323.43, 1024, 1930, 0, 0, 0, 0
0.681098, 2320.19, 1024, 1929, 0, 0, 0, 0
0.682105, 2316.98, 1024, 1928, 0, 0, 0, 0
0.682789, 2313.65, 1024, 1927, 0, 0, 0, 0
0.683368, 2310.65, 1024, 1926, 0, 0, 0, 0
0.683989, 2307.67, 1024, 1925, 0, 0, 0, 0
0.684619, 2304.57, 1024, 1924, 0, 0, 0, 0
0.685551, 2300.36, 1024, 1923, 0, 0, 0, 0
0.686406, 2296.44, 1024, 1922, 0, 0, 0, 0
0.68707, 2293.31, 1024, 1921, 0, 0, 0, 0
0.687721, 2290.6, 1024, 1920, 0, 0, 0, 0
0.688415, 2288.25, 1024, 1919, 0, 0, 0, 0
0.689431, 2284.94, 1024, 1918, 0, 0, 0, 0
0.690086, 2282.21, 1024, 1917, 0, 0, 0, 0
0.691531, 2278.94, 1024, 1916, 0, 0, 0, 0
0.692531, 2275.41, 1024, 1915, 0, 0, 0, 0
0.693146, 2272.3, 1024, 1914, 0, 0, 0, 0
0.693786, 2269.29, 1024, 1913, 0, 0, 0, 0
0.69436, 2266.0, 1024, 1912, 0, 0, 0, 0
0.694969, 2262.8, 1024, 1911, 0, 0, 0, 0
0.695727, 2260.51, 1024, 1910, 0, 0, 0, 0
0.696406, 2257.24, 1024, 1909, 0, 0, 0, 0
