0.414954 103.18 100 200
0.419062 102.117 100 199
0.423171 101.061 100 198
0.427357 100.07 100 197
0.431475 99.0133 100 196
0.435653 97.9885 100 195
0.440054 96.8973 100 194
0.444305 95.885 100 193
0.450779 95.0927 100 192
0.454997 94.0774 100 191
0.459303 93.0728 100 190
0.465524 91.8808 100 189
0.473401 90.7276 100 188
0.477962 89.4528 100 187
0.482397 88.4345 100 186
0.490721 87.4861 100 185
0.495265 86.269 100 184
0.505461 84.8916 100 183
0.509923 84.0456 100 182
0.51435 83.1246 100 181
0.519347 82.1718 100 180
0.524613 81.0986 100 179
0.533748 80.1833 100 178
0.538903 79.0213 100 177
0.543948 78.3142 100 176
0.549083 77.26 100 175
0.554366 76.5217 100 174
0.561754 75.7054 100 173
0.567245 74.5751 100 172
0.572981 73.9105 100 171
0.579121 73.1333 100 170
0.597073 71.1687 100 169
0.605716 70.0687 100 168
0.616313 68.5069 100 167
0.622365 67.8763 100 166
0.627549 66.9816 100 165
0.637205 66.1693 100 164
0.642299 65.4686 100 163
0.653792 64.7922 100 162
0.664225 64.5512 100 161
0.682619 63.8843 100 160
0.672418 64.1001 99 159
0.701134 61.1628 99 158
0.707855 59.9917 99 157
0.725341 59.1051 99 156
0.73514 58.2779 99 155
0.747582 57.1235 99 154
0.770038 55.8641 99 153
0.775245 55.0093 99 152
0.763669 55.2834 98 151
0.77341 54.6269 98 150
0.785021 54.3196 98 149
0.790728 53.6496 98 148
0.803715 52.7275 98 147
0.838418 51.6743 98 146
0.859201 50.7951 98 145
0.881177 50.2398 98 144
0.888828 49.3652 98 143
0.894124 48.6325 98 142
0.905554 48.0056 98 141
0.951286 47.2023 98 140
0.96267 46.7354 98 139
0.997031 45.5155 98 138
1.00965 44.8022 98 137
1.04023 44.181 98 136
1.05953 43.6109 98 135
1.08218 42.4563 98 134
1.09777 41.4731 98 133
1.15224 39.9158 98 132
1.13305 40.046 97 131
1.1821 38.5572 97 130
1.23647 37.0428 97 129
1.26903 35.9187 97 128
1.29253 35.1965 97 127
1.31508 34.3801 97 126
1.37417 33.8555 97 125
1.41047 33.0912 97 124
1.43129 32.4895 97 123
1.45577 31.6855 97 122
1.44851 31.5098 96 121
1.46562 30.7137 96 120
1.43895 30.5371 94 118
1.45161 30.1038 94 117
1.48417 29.1595 94 116
1.61676 27.7276 94 115
1.6375 27.1057 94 114
1.67059 26.4694 94 113
1.66897 26.2844 93 112
1.78449 25.3859 93 111
1.82851 24.6766 93 110
1.67891 24.425 88 105
1.71114 23.949 88 104
1.97034 24.5087 88 103
1.9652 24.4016 87 102
2.0131 23.339 87 101
2.29856 21.3369 87 100
2.67815 19.609 87 99
2.99152 19.0795 87 98
3.73996 17.7892 87 97
3.85107 17.0374 87 96
3.11944 14.3171 74 82
2.9419 14.0345 71 79
2.6723 13.4465 63 71
2.72546 12.9182 63 70
2.69903 12.6089 61 68
2.66286 12.5101 59 66
2.70035 12.0987 59 65
2.61031 11.6618 55 61
2.63725 11.4089 55 60
1.85073 9.74231 44 49
2.13123 8.5896 44 48
3.29759 8.16572 44 47
2.35276 5.58591 31 33
2.4001 5.35122 31 32
2.29194 5.30988 30 31
3.26639 4.468 30 30
3.19084 4.33012 29 29
3.27705 4.04737 29 28
3.21939 3.98031 28 27
3.17012 3.79174 26 25
1.89844 2.56098 16 15
1.76889 2.44359 15 14
1.68047 2.18946 13 12
1.27 1.82624 10 9
1.20988 1.69185 9 8
0.8 1.15859 5 4
0.625 1.00112 4 3
