37411.0645929 103.18 100
36862.3126218 102.117 100
36326.7172322 101.057 100
35795.1706782 100.068 100
35282.7164493 99.0469 100
34780.8170051 97.9796 100
34263.0032094 96.9589 100
33781.5132503 95.9642 100
33266.1098857 95.1347 100
32787.9797152 94.0137 100
32326.3881893 93.0955 100
31836.8346537 92.2426 100
31372.4181999 91.4299 100
30936.3191417 90.4517 100
30522.2687274 89.4063 100
30084.0513249 88.3759 100
29671.0101276 87.2948 100
29268.502401 86.3184 100
28865.355289 85.429 100
28448.316867 84.5771 100
27852.2597577 83.4656 100
27287.8367573 82.7183 100
26713.5761884 82.0197 100
25985.6742195 80.9893 100
25586.0282617 80.1541 100
25229.029201 79.0554 100
24881.9002387 77.9608 100
24535.4268825 77.0286 100
23549.7409191 76.8918 100
22801.0101343 75.8714 100
22125.6857773 75.0487 100
21847.5423798 74.0977 100
21420.5919075 73.0781 100
21104.1337625 72.0338 100
20726.4670589 71.0074 100
20143.8429791 68.9403 100
19734.4109261 68.1906 100
19439.0543819 67.1329 100
18416.4728151 66.8961 100
18005.0440684 65.6735 100
17563.7803839 64.28 100
17199.2257564 63.276 100
16974.2052283 62.4046 100
16703.4114475 61.5331 100
16032.1773413 60.7028 100
15862.4257034 59.8134 100
15354.7765281 58.7481 100
15133.3553759 58.1113 100
13598.788744 56.6231 100
13256.3163148 55.5837 100
12449.9919435 53.5989 100
11931.3575686 51.6432 100
11688.8320047 50.5577 100
11398.5132939 49.9488 100
10603.6523015 49.8904 100
9759.66841485 46.837 100
9619.48860504 46.1025 100
9168.26326655 45.3405 100
9007.25320445 44.4814 100
8533.208478 42.7684 100
8365.46246518 42.0594 100
8221.18124212 41.4471 100
8280.56918681 41.7057 99
6633.14979792 40.8435 99
6061.1818733 39.6864 99
5988.91782332 39.0393 99
5688.63638406 38.2766 99
5579.96199753 37.6519 99
5505.03226673 37.1587 99
4987.9623961 37.0007 99
4738.62281587 36.1404 99
4622.3926206 35.4949 99
4407.65374941 34.3892 99
4187.14293775 33.6247 99
4109.0371896 32.837 99
3996.45894118 31.6606 99
3954.4239081 31.7804 97
4124.26293713 32.1395 95
4076.06875985 31.6467 95
3966.81615765 31.1271 95
3837.74797518 30.1811 95
3818.0367599 30.1455 94
3635.39625511 29.4543 94
3588.5752999 28.9573 94
3391.04583997 28.1272 94
3342.63322402 27.9024 93
3281.2832049 27.2389 93
3111.30590231 25.9008 93
3111.30590231 25.9008 93
3034.14060852 25.2589 93
2702.01753399 23.6938 93
2547.45176578 23.0888 93
2555.43851662 23.0682 92
2531.27204153 22.719 92
2435.64811158 21.7843 92
2402.24826651 21.5572 91
2143.16428455 20.3143 91
1863.13286985 19.7842 91
1481.35216535 19.2854 91
1476.66234835 19.2047 87
